項目名	デバイス	デバイス番号	桁数	単位
	D	61000	1	word
	D	61003	1	word
	D	61010	1	word
	D	61020	1	word
	D	71850	1	word
	D	71900	1	word
	D	72100	1	word
	D	72120	1	word
	D	72140	1	word
	D	72160	1	word
	M	32	1	bit
	M	57010	1	bit
	M	57466	1	bit
	M	57566	1	bit
	M	57680	1	bit
	M	57697	1	bit
	M	57766	1	bit
	M	57787	1	bit
	M	57806	1	bit
	ZR	1760	1	word
	ZR	1776	1	word
	ZR	1796	1	word
	ZR	1824	1	word
	ZR	1856	1	word
	ZR	1872	1	word
	ZR	1895	1	word
	ZR	1911	1	word
	ZR	1929	1	word
	ZR	1946	1	word
	ZR	1966	1	word
	ZR	1982	1	word
	ZR	2014	1	word
	ZR	2082	1	word
	ZR	2098	1	word
	ZR	2117	1	word
	ZR	2133	1	word
	ZR	2152	1	word
	ZR	5896	1	word
	ZR	5920	1	word
	ZR	5936	1	word
	ZR	5960	1	word
	ZR	5984	1	word
	ZR	6000	1	word
	ZR	6018	1	word
	ZR	6048	1	word
	ZR	2304	1	word
	ZR	2336	1	word
	ZR	2368	1	word
